album_id,album_name,artist_id
299,Tape Deck Heart (Deluxe Edition),145
300,sadsadchristmas,146
301,Christmas Vibes But Not Christmas Songs,146
302,Acoustic Christmas Campfire,146
303,Mirrors (Acoustic),91
304,10 Futures,147
305,Stay - Acoustic,91
306,マホロボシヤ,148
307,Oh What A Love,4
308,The Bright Side,149
309,I Won't Let You Down,150
310,Look For The Good,8
311,Stargazing,151
312,Bad Liar,110
313,"One Spring Night (Original Television Soundtrack), Pt. 3",61
314,Slow Down Time,94
315,Simply Acoustic,152
316,"Love, Love, Love",153
317,Heat Waves (Acoustic),154
318,ショッピング,155
319,If the World Was Ending (Acoustic),156
320,残響,133
321,Acoustic Versions,157
322,Don't Wanna Leave You,2
323,Passenger Seat,82
324,Best Days,158
325,Phantom,159
326,Bluebird,33
327,Back to Home,160
328,SING A SONG,133
329,It'll Be Alright,57
330,Everybody,38
331,Kabilugan Ng Buwan,161
332,"Cover Sessions, Vol. 2",162
333,"Cover Sessions, Vol. 2",46
334,HELLO,133
335,だれそかれそ,163
336,August: Osage County (Original Motion Picture Soundtrack),164
337,音タイム,163
338,IT'S ONLY LOVE,133
339,虹/ひまわり/それがすべてさ,133
340,Burn It All!,165
341,Onward (Original Motion Picture Soundtrack),21
342,This Is Not for Children,166
343,No Man's Land,145
344,Dancing with the Curse,104
345,Heaven (Acoustic),167
346,Days Gone (Original Soundtrack),168
347,Asleep Among Endives,148
348,Symphony,87
349,Save Your Tears (Acoustic),152
350,POP VIRUS,1
351,A.M.,169
352,Autumn Breeze,170
353,Save Your Tears,46
354,You're Still The One (Acoustic),171
355,Somebody Loved,4
356,Bohemian Rhapsody (Acoustic),49
357,As It Was (Acoustic),152
358,Wish List,33
359,Beautiful Disaster,5
360,Fake a smile,172
361,Momentary Sixth Sense,173
362,Irony,174
363,Bullet Train (Original Motion Picture Soundtrack),175
364,No Matter Where You Are,94
365,The Walking in Between,59
366,Zee Avi's Nightlight,176
367,"Here, Right Now",177
368,Wonderful Tonight,46
369,Twenty Something,79
370,Calling,133
371,Acoustic Duets,178
372,Particles,7
