artists,artist_id
Hektombe,542
Sharyn,543
Qyubi,544
Calle 13;Totó La Momposina;Susana Baca;Maria Rita,545
BANTU;Megaloh;Ghanaian Stallion,546
La Cumbia Chicharra,547
Soothsayers,548
Voilaaa;Renaud Bilombo,549
Voilaaa;Sir Jean;Patchworks,550
OQuadro,551
Afrocidade;Nildes Bomfim,552
Euforquestra;Alan Evans,553
Manu Dibango;Cuarteto Patria,554
El Hijo De La Cumbia;La Dame Blanche,555
Warsaw Afrobeat Orchestra;Bosq,556
Samuca e a Selva;Liniker,557
Höröyá,558
El Michels Affair;Lee Fields;The Shacks,559
William Onyeabor;Hot Chip,560
Rehmahz;Oba Reengy,561
Lefties Soul Connection,562
Marizu,563
Sambabook;Criolo,564
J Prince,565
Alogte Oho & His Sounds of Joy,566
Bacao Rhythm & Steel Band,567
Soothsayers;Village Cuts,568
Jungle Fire;Felipe Gordon,569
Pacific Express;Jonathan Bulter,570
A Mose;Nolly,571
William Onyeabor;The Vaccines;John Hill;Rich Costey,572
The Sorcerers,573
Nomade Orquestra;Edgar,574
Orgone;Cyril Neville,575
King Sunny Ade,576
Calle 13;Silvio Rodríguez,577
La BOA,578
IFÁ;Okwei V. Odili,579
Whitefield Brothers,580
Brownout;Brown Sabbath,581
BaianaSystem;Mateus Aleluia,582
Voilaaa,583
Hugh Masekela;Black Coffee,584
BaianaSystem;Mahal Pita,585
Jor'dan Armstrong;Tim Bowman Jr.,586
The Shaolin Afronauts,587
Manoel Cordeiro,588
Orlando Julius;The Heliocentrics,589
The New Mastersounds;Jeff Franca;Lamar Williams Jr.,590
Kutiman;Dekel,591
Limoblaze;Johnny Drille,592
TJ Cream;First Fire;Marko,593
Rehmahz;Limoblaze,594
Elikem Kofi,595
Dos Santos,596
Zé Bigode Orquestra,597
Limoblaze,598
Foli Griô Orquestra;Carlos Malta;Dofono de Omulu;Ekedi Nicinha,599
Chief Checker,600
Lo'Jo;Vincent Ségal;Robert Wyatt,601
Pat Kalla;Le Super Mojo,602
The Mauskovic Dance Band,603
BaianaSystem;ÀTTØØXXÁ,604
Eben;Nathaniel Bassey,605
Ocote Soul Sounds;Chico Mann;Quantic,606
TJ Cream;Beloved Music,607
Sharyn;Triple O,608
Maga Bo;BNegão,609
The Sugarman 3,610
The Mighty Imperials;Joseph Henry,611
Lack Of Afro;Emma Noble,612
Zé Bigode Orquestra;Guinu,613
Ebo Taylor;Uhuru-Yenzu,614
Kutiman,615
Akalé Wubé,616
TB1,617
Louis Pascal,618
Oneness Of Juju,619
Becca Folkes,620
Greyboy,621
Maga Bo;Mestre Camaleão,622
Jlyricz,623
Monomono,624
Tony Allen With Africa 70,625
Girma Bèyènè;Akalé Wubé,626
Niña Dioz;Shigeto,627
Geraldo Pino;The Heartbeats,628
Tony Allen;Ty,629
El Rego;Kill Emil,630
BaianaSystem;Buguinha Dub;Antonio Carlos & Jocafi;Orquestra Afrosinfônica,631
Antibalas,632
Lara George,633
Nomo,634
A Mose,635
Assagai,636
Voilaaa;Rama Traore,637
Voilaaa;Lass;JKriv,638
The Funkees,639
Ebo Taylor;Pat Thomas;Henrik Schwarz,640
Buena Onda Reggae Club,641
The Daktaris,642
Brownout;Brown Sabbath;Alex Maas,643
Lack Of Afro;Camila Recchio;Wax,644
Jor'dan Armstrong;DIXSON,645
Bola Johnson,646
Fela Kuti;Afrika 70,647
Azarel;Leor,648
Edem Evangelist,649
Nkumba System;Mamani Keïta,650
Chico Mann;Captain Planet,651
Tony Allen;Damon Albarn;Ty,652
cacique'97,653
Joshua Ali,654
São Paulo Ska Jazz;Zem Audu,655
Dele Ojo,656
The Polyversal Souls;Sir Frank Karikari,657
A Mose;Marizu,658
Tony Allen;T$unami811,659
Juanafé;Los Celestinos,660
The Bamboos;Kylie Auldist,661
Monophonics,662
Gil Joe,663
Kutiman;Elif Çağlar,664
Greyboy;Bing Ji Ling,665
El Rego,666
Lack Of Afro;Elliott Cole,667
Lack Of Afro;Herbal T,668
Niña Dioz;Ceci Bastida;Lido Pimienta,669
Gilles Peterson's Havana Cultura Band,670
Speedometer;Ria Currie,671
BaianaSystem;Buguinha Dub;Orquestra Afrosinfônica,672
Meridian Brothers,673
The Neighbourhood,674
MGMT,675
Sam Tinnesz;Yacht Money,676
Nirvana,677
KALEO,678
The Score,679
grandson,680
WALK THE MOON,681
Red Hot Chili Peppers,682
The Killers,683
The Killers;Phoebe Bridgers,684
Nickelback,685
Weezer,686
The Killers;Armin van Buuren;Benno De Goeij,687
Deftones,688
The Killers;Toni Halliday,689
The Killers;Ryan Pardey,690
Weezer;AJR,691
Julieta Venegas,692
The Offspring,693
The Neighbourhood;Syd,694
The 1975,695
Radiohead,696
Hoobastank,697
The White Stripes,698
Thousand Foot Krutch,699
Dominic Fike;Zendaya,700
R.E.M.,701
Zoé,702
Skillet,703
The Smashing Pumpkins,704
Los Enanitos Verdes,705
Korn,706
Fitz and The Tantrums,707
Ashes Remain,708
3 Doors Down,709
X Ambassadors;Jensen McRae,710
Counting Crows,711
Andrés Calamaro;Alejandro Sanz,712
