track_id,popularity,duration_ms,explicit,danceability,energy,loudness,tempo,speechiness,acousticness,instrumentalness,liveness,valence,mode,key,time_signature
0mG6igzxbH55XRyq3ygEh8,73,123986,True,0.775,0.518,-5.857,161.011,0.311,0.455,0.0,0.121,0.646,0,6,4
5QvW5lK6mkfTegpAK9JOO7,71,130897,True,0.642,0.787,-6.389,146.733,0.17,0.0185,0.0,0.288,0.406,0,5,4
0W64NfLrIsRTAFObko6uJx,71,220240,True,0.51,0.619,-7.918,97.018,0.281,0.801,0.0,0.0811,0.321,1,7,4
2HegWuw33lBqopjopozt7N,51,193933,False,0.417,0.959,-5.853,82.771,0.154,0.0741,0.000243,0.764,0.522,0,3,4
4k2AjlWruIygEiZyJEy01I,50,200826,False,0.492,0.794,-5.823,167.815,0.046,0.196,2.62e-06,0.873,0.683,1,5,4
4tcoy9e3wbgGlXDXusZEra,1,260696,True,0.751,0.897,-3.602,119.97,0.0468,0.00957,2.72e-05,0.329,0.483,1,1,4
2gOhhHSjm3iw4NFY43carm,50,256720,False,0.567,0.494,-11.309,175.448,0.046,0.245,0.00132,0.712,0.547,1,7,4
4oMVO2Ykko5M6cU6yCAkNt,50,199764,False,0.547,0.577,-1.172,169.853,0.037,0.49,0.0,0.0699,0.776,1,3,4
1aKSNq3Skm9MIIksjx5bFy,51,189413,False,0.378,0.916,-7.516,93.065,0.0921,0.024,0.000381,0.988,0.622,1,8,4
6q7UC4HeG6alZZUG2TI7fd,0,260696,True,0.751,0.897,-3.602,119.97,0.0468,0.00957,2.72e-05,0.329,0.483,1,1,4
6UBSmORaOAviaRrMEZRNH9,49,272000,False,0.437,0.978,-5.107,100.54,0.0852,0.0104,0.000352,0.468,0.58,1,6,4
0mFUqKd7VxTNNMfHefoxwS,50,509826,False,0.801,0.844,-2.528,113.005,0.0387,0.292,0.000633,0.0837,0.871,1,1,3
00tVVn9y5Ar2mmfiN0Bjmq,0,138866,False,0.613,0.278,-13.709,74.311,0.0288,0.633,0.0,0.0848,0.55,1,10,4
2EjxmOw1V5MZ40S7rCiHeP,51,184693,False,0.782,0.39,-10.786,120.059,0.041,0.369,0.00031,0.0635,0.977,1,8,4
6Kt6Lnwhmw13qeD345A84E,0,215413,False,0.736,0.506,-7.857,96.083,0.0344,0.182,3.57e-06,0.134,0.563,1,9,4
1QJWQRagviM87ff3wQjBkP,50,306266,False,0.385,0.806,-8.967,106.628,0.0398,0.237,0.00566,0.933,0.693,1,1,4
7sm6y1cWTWjX3ke2WMQRAs,52,194293,False,0.757,0.707,-3.158,127.954,0.0352,0.475,0.0,0.0754,0.858,1,3,4
7K0Nelb1gfXMjaChQS1nzZ,51,235385,False,0.582,0.538,-9.395,76.008,0.0353,0.636,2.23e-06,0.868,0.355,0,2,4
6gmuILX9ZEUWVmUaPcJrpR,0,181528,False,0.727,0.796,-4.224,149.966,0.0445,0.00149,0.000221,0.468,0.422,1,0,4
7hiUBUSyIepRGWQbYrMvzw,0,279186,False,0.52,0.591,-3.225,151.089,0.0301,0.353,0.00412,0.102,0.359,1,6,4
3G7Y6YBp2OjIe8hez3HCoq,50,203466,False,0.56,0.783,-5.695,94.008,0.0249,0.136,1.18e-05,0.329,0.734,1,7,4
3Xomal5ygcaPbGUwVqVtEg,51,214626,False,0.564,0.856,-4.994,120.528,0.0363,0.215,0.0,0.337,0.726,1,7,4
3Ob98mJElVwt9PwhuFqtIP,50,215426,False,0.43,0.744,-7.924,172.522,0.0707,0.0491,0.0,0.295,0.812,1,7,4
0JuXDQ85bBXnjekwRpE4D4,50,205533,False,0.617,0.446,-11.506,133.272,0.0265,0.622,0.000309,0.14,0.294,1,4,4
3Xx8DDgvddsYPnxTH2LXsd,50,216226,False,0.575,0.902,-3.092,130.024,0.0321,0.077,0.0,0.359,0.601,1,6,4
2yLypKwqWWKUJ23QmZhbdi,0,202853,False,0.538,0.391,-9.031,88.562,0.0256,0.898,0.00558,0.17,0.398,1,0,4
0bLavFKcMljHzTJAx3sHNS,49,267120,False,0.582,0.813,-4.558,109.934,0.0295,0.0819,0.00119,0.902,0.345,1,0,4
1qi64DOjaB3BQDGZmNg3AG,0,136306,False,0.629,0.56,-11.455,118.895,0.0523,0.595,0.0,0.182,0.88,0,0,3
31cWLSWcitDSeOBKhcjhMG,0,136306,False,0.629,0.56,-11.455,118.895,0.0523,0.595,0.0,0.182,0.88,0,0,3
7AOlhO09yFC6WvbPSj2qv1,0,136306,False,0.629,0.56,-11.455,118.895,0.0523,0.595,0.0,0.182,0.88,0,0,3
51FJdn3qfNBgFhBpKdlqme,50,246464,False,0.666,0.665,-8.448,114.039,0.0322,0.16,0.0,0.957,0.548,0,9,4
763FEhIZGILafwlkipdgtI,0,136306,False,0.629,0.56,-11.455,118.895,0.0523,0.595,0.0,0.182,0.88,0,0,3
69O3Bdh6vBYY3cN3BwTH2Y,52,169691,False,0.806,0.366,-8.779,113.583,0.0833,0.432,0.0,0.13,0.983,1,7,4
3cHu1UqgGTMPLiGrWDQHVC,0,136306,False,0.629,0.56,-11.455,118.895,0.0523,0.595,0.0,0.182,0.88,0,0,3
4RaRa1BcDpF3THZhcgOPDS,0,226360,False,0.715,0.601,-3.413,134.929,0.0327,0.538,5.01e-06,0.167,0.796,1,3,4
5dva7BVCxokQMBpa6c3iBi,0,249866,False,0.558,0.683,-6.061,79.508,0.0807,0.0248,7.85e-05,0.062,0.624,1,7,4
6vmVxm1RRAKfc7MPVUWy3z,0,196649,False,0.569,0.419,-9.725,97.918,0.0318,0.831,0.0,0.108,0.45,1,0,4
2DqZ957WcDhSfsQN3wt14S,51,133653,False,0.638,0.7,-7.466,74.943,0.12,0.242,0.0,0.761,0.649,1,8,4
1wyzGqooLn3uYe9ejz2VOi,0,253666,False,0.617,0.771,-8.601,140.211,0.0328,0.00832,0.000115,0.301,0.881,1,7,4
0FcYoRbrZ9eR2bc5nw6feN,50,195066,False,0.325,0.947,-7.304,202.846,0.115,0.174,0.0,0.116,0.593,1,2,4
1fpFEHZ7Yb2nwZkck7mhkv,51,162346,False,0.764,0.679,-3.619,132.541,0.0365,0.45,3.53e-06,0.0886,0.983,1,0,3
